<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,16/11/18,12:45,113410,113460,113390,113420,331
SPFB.RTS-12.18,1,16/11/18,12:46,113430,113480,113390,113480,559
SPFB.RTS-12.18,1,16/11/18,12:47,113480,113480,113420,113460,719
SPFB.RTS-12.18,1,16/11/18,12:48,113450,113470,113420,113450,360
SPFB.RTS-12.18,1,16/11/18,12:49,113460,113590,113450,113500,1510
SPFB.RTS-12.18,1,16/11/18,12:50,113490,113520,113430,113450,313
SPFB.RTS-12.18,1,16/11/18,12:51,113450,113450,113350,113430,672
SPFB.RTS-12.18,1,16/11/18,12:52,113430,113480,113430,113440,453
SPFB.RTS-12.18,1,16/11/18,12:53,113440,113440,113390,113430,391
SPFB.RTS-12.18,1,16/11/18,12:54,113430,113540,113420,113540,577
SPFB.RTS-12.18,1,16/11/18,12:55,113530,113530,113490,113500,210
SPFB.RTS-12.18,1,16/11/18,12:56,113490,113490,113390,113410,230
SPFB.RTS-12.18,1,16/11/18,12:57,113410,113500,113410,113480,599
SPFB.RTS-12.18,1,16/11/18,12:58,113480,113520,113480,113480,379
SPFB.RTS-12.18,1,16/11/18,12:59,113480,113490,113440,113480,167
SPFB.RTS-12.18,1,16/11/18,13:00,113480,113550,113470,113550,481
SPFB.RTS-12.18,1,16/11/18,13:01,113540,113550,113480,113500,196
SPFB.RTS-12.18,1,16/11/18,13:02,113490,113500,113420,113440,222
SPFB.RTS-12.18,1,16/11/18,13:03,113450,113450,113350,113380,430
SPFB.RTS-12.18,1,16/11/18,13:04,113380,113430,113340,113400,390
SPFB.RTS-12.18,1,16/11/18,13:05,113400,113400,113350,113350,180
SPFB.RTS-12.18,1,16/11/18,13:06,113350,113410,113350,113390,280
SPFB.RTS-12.18,1,16/11/18,13:07,113400,113420,113390,113420,86
SPFB.RTS-12.18,1,16/11/18,13:08,113410,113460,113400,113400,553
SPFB.RTS-12.18,1,16/11/18,13:09,113400,113410,113290,113290,864
SPFB.RTS-12.18,1,16/11/18,13:10,113290,113310,113180,113300,2350
SPFB.RTS-12.18,1,16/11/18,13:11,113300,113320,113220,113270,1132
SPFB.RTS-12.18,1,16/11/18,13:12,113280,113280,113190,113200,512
SPFB.RTS-12.18,1,16/11/18,13:13,113200,113290,113180,113260,710
SPFB.RTS-12.18,1,16/11/18,13:14,113270,113410,113260,113370,719
SPFB.RTS-12.18,1,16/11/18,13:15,113390,113440,113370,113390,774
SPFB.RTS-12.18,1,16/11/18,13:16,113390,113420,113360,113410,353
SPFB.RTS-12.18,1,16/11/18,13:17,113410,113450,113410,113450,293
SPFB.RTS-12.18,1,16/11/18,13:18,113430,113460,113400,113400,208
SPFB.RTS-12.18,1,16/11/18,13:19,113410,113440,113390,113440,178
SPFB.RTS-12.18,1,16/11/18,13:20,113420,113500,113400,113450,702
SPFB.RTS-12.18,1,16/11/18,13:21,113470,113470,113410,113430,264
SPFB.RTS-12.18,1,16/11/18,13:22,113440,113500,113420,113470,274
SPFB.RTS-12.18,1,16/11/18,13:23,113470,113540,113460,113500,526
SPFB.RTS-12.18,1,16/11/18,13:24,113490,113520,113480,113520,175
SPFB.RTS-12.18,1,16/11/18,13:25,113510,113580,113510,113530,553
SPFB.RTS-12.18,1,16/11/18,13:26,113530,113550,113510,113520,254
SPFB.RTS-12.18,1,16/11/18,13:27,113520,113560,113460,113510,561
SPFB.RTS-12.18,1,16/11/18,13:28,113520,113540,113480,113530,161
SPFB.RTS-12.18,1,16/11/18,13:29,113530,113540,113480,113490,489
SPFB.RTS-12.18,1,16/11/18,13:30,113490,113490,113440,113460,251
SPFB.RTS-12.18,1,16/11/18,13:31,113450,113480,113450,113470,80
SPFB.RTS-12.18,1,16/11/18,13:32,113470,113500,113450,113490,139
SPFB.RTS-12.18,1,16/11/18,13:33,113490,113530,113460,113460,208
SPFB.RTS-12.18,1,16/11/18,13:34,113490,113500,113450,113470,182
SPFB.RTS-12.18,1,16/11/18,13:35,113470,113470,113390,113440,459
SPFB.RTS-12.18,1,16/11/18,13:36,113450,113470,113430,113450,113
SPFB.RTS-12.18,1,16/11/18,13:37,113440,113470,113400,113440,133
SPFB.RTS-12.18,1,16/11/18,13:38,113440,113530,113430,113520,254
SPFB.RTS-12.18,1,16/11/18,13:39,113520,113520,113450,113500,100
SPFB.RTS-12.18,1,16/11/18,13:40,113500,113710,113500,113710,1768
SPFB.RTS-12.18,1,16/11/18,13:41,113710,113770,113660,113760,943
SPFB.RTS-12.18,1,16/11/18,13:42,113770,113790,113700,113760,753
SPFB.RTS-12.18,1,16/11/18,13:43,113770,113830,113760,113770,575
SPFB.RTS-12.18,1,16/11/18,13:44,113780,113780,113710,113730,308
SPFB.RTS-12.18,1,16/11/18,13:45,113730,113870,113730,113830,717
SPFB.RTS-12.18,1,16/11/18,13:46,113830,113870,113790,113810,437
SPFB.RTS-12.18,1,16/11/18,13:47,113820,113830,113770,113780,337
SPFB.RTS-12.18,1,16/11/18,13:48,113780,113790,113740,113770,302
SPFB.RTS-12.18,1,16/11/18,13:49,113780,113790,113720,113740,175
SPFB.RTS-12.18,1,16/11/18,13:50,113740,113750,113690,113720,462
SPFB.RTS-12.18,1,16/11/18,13:51,113710,113710,113600,113620,780
SPFB.RTS-12.18,1,16/11/18,13:52,113630,113650,113590,113600,262
SPFB.RTS-12.18,1,16/11/18,13:53,113600,113760,113600,113760,615
SPFB.RTS-12.18,1,16/11/18,13:54,113760,113930,113740,113900,1247
SPFB.RTS-12.18,1,16/11/18,13:55,113900,113940,113830,113850,774
SPFB.RTS-12.18,1,16/11/18,13:56,113860,113860,113800,113810,492
SPFB.RTS-12.18,1,16/11/18,13:57,113830,113850,113810,113820,133
SPFB.RTS-12.18,1,16/11/18,13:58,113810,113810,113750,113770,288
SPFB.RTS-12.18,1,16/11/18,13:59,113780,113850,113780,113830,182
SPFB.RTS-12.18,1,16/11/18,14:00,113820,113880,113790,113860,412
SPFB.RTS-12.18,1,16/11/18,14:06,113850,113850,113610,113610,747
SPFB.RTS-12.18,1,16/11/18,14:07,113610,113680,113580,113590,480
SPFB.RTS-12.18,1,16/11/18,14:08,113590,113620,113570,113610,322
SPFB.RTS-12.18,1,16/11/18,14:09,113610,113660,113580,113660,531
SPFB.RTS-12.18,1,16/11/18,14:10,113660,113680,113610,113630,332
SPFB.RTS-12.18,1,16/11/18,14:11,113600,113660,113590,113600,301
SPFB.RTS-12.18,1,16/11/18,14:12,113600,113630,113570,113600,273
SPFB.RTS-12.18,1,16/11/18,14:13,113590,113620,113510,113550,358
SPFB.RTS-12.18,1,16/11/18,14:14,113540,113580,113520,113540,323
SPFB.RTS-12.18,1,16/11/18,14:15,113530,113540,113510,113540,134
SPFB.RTS-12.18,1,16/11/18,14:16,113540,113570,113510,113510,183
SPFB.RTS-12.18,1,16/11/18,14:17,113520,113530,113470,113510,473
SPFB.RTS-12.18,1,16/11/18,14:18,113520,113530,113470,113490,374
SPFB.RTS-12.18,1,16/11/18,14:19,113490,113530,113480,113510,86
SPFB.RTS-12.18,1,16/11/18,14:20,113500,113510,113420,113420,402
SPFB.RTS-12.18,1,16/11/18,14:21,113420,113470,113410,113470,369
SPFB.RTS-12.18,1,16/11/18,14:22,113450,113490,113430,113490,579
SPFB.RTS-12.18,1,16/11/18,14:23,113490,113520,113460,113470,515
SPFB.RTS-12.18,1,16/11/18,14:24,113490,113490,113450,113470,89
SPFB.RTS-12.18,1,16/11/18,14:25,113460,113510,113440,113510,159
SPFB.RTS-12.18,1,16/11/18,14:26,113510,113540,113490,113520,329
SPFB.RTS-12.18,1,16/11/18,14:27,113520,113520,113500,113510,103
SPFB.RTS-12.18,1,16/11/18,14:28,113500,113530,113470,113530,200
SPFB.RTS-12.18,1,16/11/18,14:29,113520,113530,113380,113410,545
SPFB.RTS-12.18,1,16/11/18,14:30,113400,113430,113360,113420,362
SPFB.RTS-12.18,1,16/11/18,14:31,113410,113420,113300,113340,930
SPFB.RTS-12.18,1,16/11/18,14:32,113350,113350,113270,113290,573
SPFB.RTS-12.18,1,16/11/18,14:33,113280,113330,113270,113300,321
SPFB.RTS-12.18,1,16/11/18,14:34,113290,113370,113280,113360,546
SPFB.RTS-12.18,1,16/11/18,14:35,113360,113380,113340,113360,276
SPFB.RTS-12.18,1,16/11/18,14:36,113350,113440,113340,113440,381
SPFB.RTS-12.18,1,16/11/18,14:37,113440,113450,113410,113440,194
SPFB.RTS-12.18,1,16/11/18,14:38,113440,113470,113410,113430,198
SPFB.RTS-12.18,1,16/11/18,14:39,113440,113460,113430,113450,136
SPFB.RTS-12.18,1,16/11/18,14:40,113440,113450,113400,113420,352
SPFB.RTS-12.18,1,16/11/18,14:41,113420,113420,113360,113390,351
SPFB.RTS-12.18,1,16/11/18,14:42,113390,113390,113340,113370,134
SPFB.RTS-12.18,1,16/11/18,14:43,113360,113430,113360,113420,180
SPFB.RTS-12.18,1,16/11/18,14:44,113410,113480,113410,113470,266
SPFB.RTS-12.18,1,16/11/18,14:45,113470,113470,113430,113440,97
SPFB.RTS-12.18,1,16/11/18,14:46,113430,113440,113400,113430,187
SPFB.RTS-12.18,1,16/11/18,14:47,113450,113540,113450,113510,742
SPFB.RTS-12.18,1,16/11/18,14:48,113510,113520,113460,113460,136
SPFB.RTS-12.18,1,16/11/18,14:49,113470,113480,113450,113460,54
SPFB.RTS-12.18,1,16/11/18,14:50,113470,113470,113420,113420,133
SPFB.RTS-12.18,1,16/11/18,14:51,113420,113470,113410,113470,133
SPFB.RTS-12.18,1,16/11/18,14:52,113460,113480,113410,113410,258
SPFB.RTS-12.18,1,16/11/18,14:53,113410,113410,113330,113390,1072
SPFB.RTS-12.18,1,16/11/18,14:54,113390,113480,113380,113460,855
SPFB.RTS-12.18,1,16/11/18,14:55,113450,113470,113390,113400,151
SPFB.RTS-12.18,1,16/11/18,14:56,113410,113410,113310,113330,355
SPFB.RTS-12.18,1,16/11/18,14:57,113340,113360,113270,113290,825
SPFB.RTS-12.18,1,16/11/18,14:58,113290,113330,113280,113320,316
SPFB.RTS-12.18,1,16/11/18,14:59,113320,113340,113310,113310,86
SPFB.RTS-12.18,1,16/11/18,15:00,113320,113320,113280,113300,519
SPFB.RTS-12.18,1,16/11/18,15:01,113320,113320,113230,113290,898
SPFB.RTS-12.18,1,16/11/18,15:02,113280,113300,113230,113230,673
SPFB.RTS-12.18,1,16/11/18,15:03,113230,113270,113140,113220,2468
SPFB.RTS-12.18,1,16/11/18,15:04,113220,113300,113200,113260,504
SPFB.RTS-12.18,1,16/11/18,15:05,113270,113300,113180,113190,719
SPFB.RTS-12.18,1,16/11/18,15:06,113180,113180,113010,113110,2334
SPFB.RTS-12.18,1,16/11/18,15:07,113100,113140,113090,113110,515
SPFB.RTS-12.18,1,16/11/18,15:08,113100,113170,113100,113110,555
SPFB.RTS-12.18,1,16/11/18,15:09,113110,113260,113110,113260,914
SPFB.RTS-12.18,1,16/11/18,15:10,113240,113270,113210,113220,390
SPFB.RTS-12.18,1,16/11/18,15:11,113210,113220,113170,113190,240
SPFB.RTS-12.18,1,16/11/18,15:12,113190,113230,113190,113210,170
SPFB.RTS-12.18,1,16/11/18,15:13,113200,113270,113200,113240,266
SPFB.RTS-12.18,1,16/11/18,15:14,113230,113250,113200,113200,146
SPFB.RTS-12.18,1,16/11/18,15:15,113210,113270,113210,113210,166
SPFB.RTS-12.18,1,16/11/18,15:16,113200,113200,113020,113020,1505
SPFB.RTS-12.18,1,16/11/18,15:17,113030,113050,112960,113020,2035
SPFB.RTS-12.18,1,16/11/18,15:18,113000,113070,112990,113050,435
SPFB.RTS-12.18,1,16/11/18,15:19,113050,113050,112910,112920,997
SPFB.RTS-12.18,1,16/11/18,15:20,112920,112970,112870,112890,1200
SPFB.RTS-12.18,1,16/11/18,15:21,112900,112910,112780,112810,1591
SPFB.RTS-12.18,1,16/11/18,15:22,112810,112820,112800,112820,372
SPFB.RTS-12.18,1,16/11/18,15:23,112810,112850,112780,112790,689
SPFB.RTS-12.18,1,16/11/18,15:24,112800,112890,112790,112890,900
SPFB.RTS-12.18,1,16/11/18,15:25,112890,112960,112870,112900,1525
SPFB.RTS-12.18,1,16/11/18,15:26,112900,112940,112880,112900,618
SPFB.RTS-12.18,1,16/11/18,15:27,112920,112920,112880,112900,304
SPFB.RTS-12.18,1,16/11/18,15:28,112900,112940,112870,112930,427
SPFB.RTS-12.18,1,16/11/18,15:29,112920,112950,112880,112930,496
SPFB.RTS-12.18,1,16/11/18,15:30,112930,112930,112870,112880,396
SPFB.RTS-12.18,1,16/11/18,15:31,112890,112890,112770,112810,1050
SPFB.RTS-12.18,1,16/11/18,15:32,112810,112830,112780,112830,358
SPFB.RTS-12.18,1,16/11/18,15:33,112830,112840,112790,112840,162
SPFB.RTS-12.18,1,16/11/18,15:34,112830,112850,112730,112800,816
SPFB.RTS-12.18,1,16/11/18,15:35,112800,112830,112750,112810,506
SPFB.RTS-12.18,1,16/11/18,15:36,112800,112880,112800,112880,730
SPFB.RTS-12.18,1,16/11/18,15:37,112880,112890,112830,112860,603
SPFB.RTS-12.18,1,16/11/18,15:38,112850,112900,112810,112900,276
SPFB.RTS-12.18,1,16/11/18,15:39,112900,112910,112860,112880,226
SPFB.RTS-12.18,1,16/11/18,15:40,112870,112880,112850,112870,174
SPFB.RTS-12.18,1,16/11/18,15:41,112880,112880,112830,112880,219
SPFB.RTS-12.18,1,16/11/18,15:42,112870,112950,112870,112950,400
SPFB.RTS-12.18,1,16/11/18,15:43,112950,112990,112920,112980,826
SPFB.RTS-12.18,1,16/11/18,15:44,112980,112980,112900,112930,323
SPFB.RTS-12.18,1,16/11/18,15:45,112930,112980,112930,112980,142
SPFB.RTS-12.18,1,16/11/18,15:46,112980,112980,112930,112930,307
SPFB.RTS-12.18,1,16/11/18,15:47,112920,113060,112910,113060,868
SPFB.RTS-12.18,1,16/11/18,15:48,113060,113090,113020,113050,744
SPFB.RTS-12.18,1,16/11/18,15:49,113040,113130,113020,113120,836
SPFB.RTS-12.18,1,16/11/18,15:50,113120,113170,113120,113130,674
SPFB.RTS-12.18,1,16/11/18,15:51,113130,113150,113110,113140,258
SPFB.RTS-12.18,1,16/11/18,15:52,113130,113180,113130,113180,439
SPFB.RTS-12.18,1,16/11/18,15:53,113170,113250,113170,113230,933
SPFB.RTS-12.18,1,16/11/18,15:54,113250,113260,113160,113170,609
SPFB.RTS-12.18,1,16/11/18,15:55,113170,113230,113160,113190,397
SPFB.RTS-12.18,1,16/11/18,15:56,113190,113190,113110,113120,682
SPFB.RTS-12.18,1,16/11/18,15:57,113120,113140,113080,113110,637
SPFB.RTS-12.18,1,16/11/18,15:58,113110,113150,113070,113110,349
SPFB.RTS-12.18,1,16/11/18,15:59,113110,113110,113000,113030,544
SPFB.RTS-12.18,1,16/11/18,16:00,113030,113080,113020,113030,274
SPFB.RTS-12.18,1,16/11/18,16:01,113030,113080,113000,113010,406
SPFB.RTS-12.18,1,16/11/18,16:02,113010,113010,112960,113010,487
